start_time,end_time,acr,core_acr,activity_num,core_activity_num
2016-11-15 09:22:27.768000+00:00,2016-11-15 09:27:27.768000+00:00,0.056666666666666664,0.12871287128712872,600,101
2016-11-15 09:27:27.768000+00:00,2016-11-15 09:32:27.768000+00:00,0.09166666666666666,0.27722772277227725,600,101
2016-11-15 09:32:27.768000+00:00,2016-11-15 09:37:27.768000+00:00,0.09666666666666666,0.2871287128712871,600,101
2016-11-15 09:37:27.768000+00:00,2016-11-15 09:42:27.768000+00:00,0.11,0.33663366336633666,600,101
2016-11-15 09:42:27.768000+00:00,2016-11-15 09:47:27.768000+00:00,0.11833333333333333,0.33663366336633666,600,101
2016-11-15 09:47:27.768000+00:00,2016-11-15 09:52:27.768000+00:00,0.14,0.37623762376237624,600,101
2016-11-15 09:52:27.768000+00:00,2016-11-15 09:57:27.768000+00:00,0.14833333333333334,0.38613861386138615,600,101
2016-11-15 09:57:27.768000+00:00,2016-11-15 10:02:27.768000+00:00,0.15166666666666667,0.38613861386138615,600,101
2016-11-15 10:02:27.768000+00:00,2016-11-15 10:07:27.768000+00:00,0.15833333333333333,0.40594059405940597,600,101
2016-11-15 10:07:27.768000+00:00,2016-11-15 10:12:27.768000+00:00,0.16166666666666665,0.40594059405940597,600,101
2016-11-15 10:12:27.768000+00:00,2016-11-15 10:17:27.768000+00:00,0.17166666666666666,0.40594059405940597,600,101
2016-11-15 10:17:27.768000+00:00,2016-11-15 10:22:27.768000+00:00,0.18,0.4158415841584158,600,101
2016-11-15 10:22:27.768000+00:00,2016-11-15 10:27:27.768000+00:00,0.18166666666666667,0.4158415841584158,600,101
2016-11-15 10:27:27.768000+00:00,2016-11-15 10:32:27.768000+00:00,0.18333333333333332,0.4158415841584158,600,101
2016-11-15 10:32:27.768000+00:00,2016-11-15 10:37:27.768000+00:00,0.18333333333333332,0.4158415841584158,600,101
2016-11-15 10:37:27.768000+00:00,2016-11-15 10:42:27.768000+00:00,0.18833333333333332,0.4158415841584158,600,101
2016-11-15 10:42:27.768000+00:00,2016-11-15 10:47:27.768000+00:00,0.19166666666666668,0.4158415841584158,600,101
2016-11-15 10:47:27.768000+00:00,2016-11-15 10:52:27.768000+00:00,0.19333333333333333,0.4158415841584158,600,101
2016-11-15 10:52:27.768000+00:00,2016-11-15 10:57:27.768000+00:00,0.19666666666666666,0.4158415841584158,600,101
2016-11-15 10:57:27.768000+00:00,2016-11-15 11:02:27.768000+00:00,0.20333333333333334,0.42574257425742573,600,101
2016-11-15 11:02:27.768000+00:00,2016-11-15 11:07:27.768000+00:00,0.21166666666666667,0.44554455445544555,600,101
2016-11-15 11:07:27.768000+00:00,2016-11-15 11:12:27.768000+00:00,0.21333333333333335,0.45544554455445546,600,101
2016-11-15 11:12:27.768000+00:00,2016-11-15 11:17:27.768000+00:00,0.21333333333333335,0.45544554455445546,600,101
2016-11-15 11:17:27.768000+00:00,2016-11-15 11:22:27.768000+00:00,0.215,0.45544554455445546,600,101
2016-11-15 11:22:27.768000+00:00,2016-11-15 11:27:27.768000+00:00,0.22333333333333333,0.46534653465346537,600,101
2016-11-15 11:27:27.768000+00:00,2016-11-15 11:32:27.768000+00:00,0.225,0.46534653465346537,600,101
2016-11-15 11:32:27.768000+00:00,2016-11-15 11:37:27.768000+00:00,0.23,0.4752475247524752,600,101
2016-11-15 11:37:27.768000+00:00,2016-11-15 11:42:27.768000+00:00,0.23,0.4752475247524752,600,101
2016-11-15 11:42:27.768000+00:00,2016-11-15 11:47:27.768000+00:00,0.23166666666666666,0.4752475247524752,600,101
2016-11-15 11:47:27.768000+00:00,2016-11-15 11:52:27.768000+00:00,0.235,0.4752475247524752,600,101
2016-11-15 11:52:27.768000+00:00,2016-11-15 11:57:27.768000+00:00,0.23666666666666666,0.4752475247524752,600,101
2016-11-15 11:57:27.768000+00:00,2016-11-15 12:02:27.768000+00:00,0.23833333333333334,0.4752475247524752,600,101
2016-11-15 12:02:27.768000+00:00,2016-11-15 12:07:27.768000+00:00,0.25166666666666665,0.48514851485148514,600,101
2016-11-15 12:07:27.768000+00:00,2016-11-15 12:12:27.768000+00:00,0.26,0.48514851485148514,600,101
2016-11-15 12:12:27.768000+00:00,2016-11-15 12:17:27.768000+00:00,0.27,0.504950495049505,600,101
2016-11-15 12:17:27.768000+00:00,2016-11-15 12:22:27.768000+00:00,0.27,0.504950495049505,600,101
